drop,participant,session,mriMode,isPractice,runFilename,contextRole,contextId,cueId,isSick,corrButton,response.keys,response.rt,response.corr,restaurant,food,isTrain,roundId,trialId,expStartWallTime,actualChoiceOnset,actualChoiceOffset,actualIsiOnset,actualIsiOffset,actualFeedbackOnset,actualFeedbackOffset,actualItiOnset,actualItiOffset,actualItiDuration,itiDriftAdjustment,stimOnset,stimOffset,itiDuration,itiOffset
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,0,Yes,left,left,1.61042308807,1,Dave's Sandwiches,fast_food0.png,1,3,3,Sun Oct 30 13:56:11 2016,21.9738471508,23.6516270638,23.6519691944,24.6847710609,24.6851241589,25.6853601933,25.6855640411,27.9520111084,2.34849786758,-0.041079044342,22.0,27.0,1.0,28.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,0,Yes,left,left,1.71860194206,1,Dave's Sandwiches,fast_food0.png,1,3,4,Sun Oct 30 13:56:11 2016,27.9557771683,29.7500030994,29.7503521442,30.7830200195,30.7833690643,31.7836070061,31.7838141918,33.9502751827,2.25011491776,-0.0312831401825,28.0,33.0,1.0,34.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,1,No,right,left,2.50402092934,0,Burger Masters,fast_food2.png,1,3,5,Sun Oct 30 13:56:11 2016,33.9540901184,36.548014164,36.5483481884,37.5809831619,37.5813159943,38.5815281868,38.5817182064,39.9324481487,1.45211195946,-0.0438671112061,34.0,39.0,1.0,40.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,1,Yes,left,left,2.30322885513,1,Dave's Sandwiches,fast_food2.png,1,3,6,Sun Oct 30 13:56:11 2016,39.9361441135,42.3129441738,42.3132860661,43.3460221291,43.3463540077,44.346570015,44.3467590809,47.962444067,3.68718791008,-0.00958323478699,40.0,45.0,3.0,48.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,1,Yes,left,left,1.19415712357,1,Dave's Sandwiches,fast_food2.png,1,3,7,Sun Oct 30 13:56:11 2016,47.966201067,49.2443881035,49.244726181,50.2779290676,50.2782690525,51.2784810066,51.2786710262,53.9441010952,2.7557349205,-0.0501079559326,48.0,53.0,1.0,54.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,1,Yes,left,left,1.05239486694,1,Dave's Sandwiches,fast_food2.png,1,3,8,Sun Oct 30 13:56:11 2016,53.9478421211,55.0759019852,55.0762450695,56.1089220047,56.1092720032,57.1095120907,57.1097199917,59.9600980282,2.92421579361,-0.023389339447,54.0,59.0,1.0,60.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,0,No,right,right,1.0232360363,1,Burger Masters,fast_food0.png,1,3,9,Sun Oct 30 13:56:11 2016,59.9638590813,61.0575361252,61.057872057,62.0905971527,62.0909340382,63.0911459923,63.091337204,65.9574861526,2.94258594513,-0.0341780185699,60.0,65.0,1.0,66.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,0,1,Yes,left,left,0.999847173691,1,Dave's Sandwiches,fast_food2.png,1,3,10,Sun Oct 30 13:56:11 2016,65.961233139,67.0390720367,67.0394082069,68.0721280575,68.072478056,69.0726921558,69.0728850365,71.9564499855,2.96106386185,-0.0390889644623,66.0,71.0,1.0,72.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,1,No,right,right,1.57722616196,1,Burger Masters,fast_food2.png,1,3,11,Sun Oct 30 13:56:11 2016,71.959703207,73.6204690933,73.6208150387,74.6536071301,74.6539731026,75.6542019844,75.6544060707,79.9538910389,4.37965798378,-0.0431158542633,72.0,77.0,3.0,80.0
0,con001,001,scan,0,itis/csv/con001_run2_itis.csv,additive,1,1,No,right,right,1.21469283104,1,Burger Masters,fast_food2.png,1,3,12,Sun Oct 30 13:56:11 2016,79.9576721191,81.2515921593,81.2519299984,82.2851781845,82.2855160236,83.2857291698,83.2859210968,91.9505960941,8.74853897095,-0.0367681980133,80.0,85.0,7.0,92.0
